empresa,agrupador_fpa,FiscalYear,FiscalPeriod,AmountInCompanyCodeCurrency
NextGen,Financial income (expenses) net,2025,7,7992.08
NextGen,Financial income (expenses) net,2025,8,-2171.609999999999
NextGen,Financial income (expenses) net,2025,9,-4104.4800000000005
NextGen,Financial income (expenses) net,2025,10,5077.910000000001
NextGen,Financial income (expenses) net,2025,11,-6957.8
NextGen,Financial income (expenses) net,2025,12,-9500.45
NextGen,General and administrative expenses,2025,7,1485.5900000000001
NextGen,General and administrative expenses,2025,8,789.98
NextGen,General and administrative expenses,2025,9,515.03
NextGen,General and administrative expenses,2025,10,521.87
NextGen,General and administrative expenses,2025,11,284.39000000000004
NextGen,General and administrative expenses,2025,12,2099.97
NextGen,Net Revenue,2025,7,-1970882.97
NextGen,Net Revenue,2025,8,-2187846.4099999997
NextGen,Net Revenue,2025,9,-2413472.57
NextGen,Net Revenue,2025,10,-2448395.38
NextGen,Net Revenue,2025,11,-2061060.24
NextGen,Net Revenue,2025,12,-2646610.9699999997
NextGen,NÃO CLASSIFICADO,2025,7,7.958078640513122e-13
NextGen,NÃO CLASSIFICADO,2025,8,904.81
NextGen,NÃO CLASSIFICADO,2025,9,-1421.4500000000003
NextGen,NÃO CLASSIFICADO,2025,10,516.64
NextGen,NÃO CLASSIFICADO,2025,11,0.0
NextGen,NÃO CLASSIFICADO,2025,12,0.0
NextGen,Other operating income (expenses) net,2025,7,-950029.0
NextGen,Other operating income (expenses) net,2025,8,-780888.0
NextGen,Other operating income (expenses) net,2025,10,-85000.0
NextGen,Other operating income (expenses) net,2025,11,0.0
NextGen,Other operating income (expenses) net,2025,12,-285642.04
NextGen,Payroll costs,2025,7,1251411.28
NextGen,Payroll costs,2025,8,1510001.3699999999
NextGen,Payroll costs,2025,9,1548658.91
NextGen,Payroll costs,2025,10,1576827.54
NextGen,Payroll costs,2025,11,1625533.25
NextGen,Payroll costs,2025,12,1697009.29
NextGen,Payroll expenses,2025,7,1198541.22
NextGen,Payroll expenses,2025,8,1258856.61
NextGen,Payroll expenses,2025,9,1025692.6599999999
NextGen,Payroll expenses,2025,10,1482634.8800000001
NextGen,Payroll expenses,2025,11,1100206.83
NextGen,Payroll expenses,2025,12,1161408.5399999998
NextGen,Tax expenses,2025,7,226.68
NextGen,Tax expenses,2025,11,122.81
NextGen,Third-party expenses,2025,9,1196.6399999999999
NextGen,Travel expenses,2025,7,58.91
NextGen,Travel expenses,2025,8,754.3799999999998
NextGen,Travel expenses,2025,9,663.02
NextGen,Travel expenses,2025,10,570.99
NextGen,Travel expenses,2025,11,3673.08
NextGen,Travel expenses,2025,12,1317.2
Omnik,Consulting expenses,2025,7,3850.0
Omnik,Consulting expenses,2025,9,91580.0
Omnik,Consulting expenses,2025,10,419.0
Omnik,Consulting expenses,2025,11,3850.0
Omnik,Depreciation and amortization,2025,7,817.0
Omnik,Depreciation and amortization,2025,8,820.0
Omnik,Depreciation and amortization,2025,9,817.0
Omnik,Depreciation and amortization,2025,10,817.0
Omnik,Depreciation and amortization,2025,11,820.0
Omnik,Depreciation and amortization,2025,12,817.0
Omnik,Financial income (expenses) net,2025,7,1827.7200000000005
Omnik,Financial income (expenses) net,2025,8,3161.4099999999994
Omnik,Financial income (expenses) net,2025,9,3737.74
Omnik,Financial income (expenses) net,2025,10,18307.86
Omnik,Financial income (expenses) net,2025,11,6348.65
Omnik,Financial income (expenses) net,2025,12,2516.69
Omnik,General and administrative expenses,2025,7,14698.27
Omnik,General and administrative expenses,2025,8,14007.09
Omnik,General and administrative expenses,2025,9,10651.0
Omnik,General and administrative expenses,2025,10,7673.74
Omnik,General and administrative expenses,2025,11,11855.75
Omnik,General and administrative expenses,2025,12,39574.03
Omnik,Marketing and selling expenses,2025,9,28000.0
Omnik,Marketing and selling expenses,2025,12,3549.56
Omnik,Net Revenue,2025,7,-275687.31999999995
Omnik,Net Revenue,2025,8,-432965.23
Omnik,Net Revenue,2025,9,-583406.22
Omnik,Net Revenue,2025,10,-557093.0200000001
Omnik,Net Revenue,2025,11,-307623.82000000036
Omnik,Net Revenue,2025,12,-555894.3300000001
Omnik,NÃO CLASSIFICADO,2025,7,39126.89000000001
Omnik,NÃO CLASSIFICADO,2025,8,50697.6
Omnik,NÃO CLASSIFICADO,2025,9,-122182.31999999999
Omnik,NÃO CLASSIFICADO,2025,10,77964.81
Omnik,NÃO CLASSIFICADO,2025,11,22946.850000000006
Omnik,NÃO CLASSIFICADO,2025,12,-21638.489999999998
Omnik,Occupancy expenses,2025,7,400.0
Omnik,Occupancy expenses,2025,8,400.0
Omnik,Occupancy expenses,2025,9,400.0
Omnik,Occupancy expenses,2025,10,400.0
Omnik,Occupancy expenses,2025,11,1200.0
Omnik,Occupancy expenses,2025,12,800.0
Omnik,Other operating income (expenses) net,2025,7,205.26
Omnik,Other operating income (expenses) net,2025,8,410.52
Omnik,Payroll costs,2025,8,55501.81
Omnik,Payroll costs,2025,9,105812.42
Omnik,Payroll costs,2025,10,132306.92
Omnik,Payroll costs,2025,11,225159.51
Omnik,Payroll costs,2025,12,239038.85
Omnik,Payroll expenses,2025,7,12071.52
Omnik,Payroll expenses,2025,8,8541.01
Omnik,Payroll expenses,2025,9,5689.18
Omnik,Payroll expenses,2025,10,36731.06
Omnik,Payroll expenses,2025,11,28532.5
Omnik,Payroll expenses,2025,12,37431.45
Omnik,Tax expenses,2025,7,-1444.67
Omnik,Tax expenses,2025,8,-1444.67
Omnik,Tax expenses,2025,9,-1444.67
Omnik,Tax expenses,2025,10,-732.6100000000001
Omnik,Tax expenses,2025,11,-1444.67
Omnik,Tax expenses,2025,12,-1444.67
Omnik,Third-party costs,2025,7,184347.05
Omnik,Third-party costs,2025,8,206301.23
Omnik,Third-party costs,2025,9,252119.36
Omnik,Third-party costs,2025,10,100852.44
Omnik,Third-party costs,2025,11,125703.01999999999
Omnik,Third-party costs,2025,12,102357.84
Omnik,Third-party expenses,2025,7,98706.8
Omnik,Third-party expenses,2025,8,99456.0
Omnik,Third-party expenses,2025,9,109659.51
Omnik,Third-party expenses,2025,10,196582.67
Omnik,Third-party expenses,2025,11,215528.19
Omnik,Third-party expenses,2025,12,205122.16
Omnik,Travel expenses,2025,7,1763.13
Omnik,Travel expenses,2025,8,2289.76
Omnik,Travel expenses,2025,9,799.62
Omnik,Travel expenses,2025,10,739.63
Omnik,Travel expenses,2025,11,3824.91
Omnik,Travel expenses,2025,12,45749.68
SGA,Consulting expenses,2025,7,2400.73
SGA,Consulting expenses,2025,8,2134.96
SGA,Consulting expenses,2025,9,3278.88
SGA,Consulting expenses,2025,10,2287.18
SGA,Consulting expenses,2025,11,2135.07
SGA,Consulting expenses,2025,12,58854.96
SGA,Depreciation and amortization,2025,7,3161.0
SGA,Depreciation and amortization,2025,8,3418.0
SGA,Depreciation and amortization,2025,9,3446.0
SGA,Depreciation and amortization,2025,10,3426.0
SGA,Depreciation and amortization,2025,11,3422.0
SGA,Depreciation and amortization,2025,12,1634.0
SGA,Financial income (expenses) net,2025,7,8102.6399999999985
SGA,Financial income (expenses) net,2025,8,14665.92
SGA,Financial income (expenses) net,2025,9,948.2700000000004
SGA,Financial income (expenses) net,2025,10,-3784.7000000000007
SGA,Financial income (expenses) net,2025,11,-829.460000000001
SGA,Financial income (expenses) net,2025,12,840.8400000000005
SGA,General and administrative expenses,2025,7,30865.44
SGA,General and administrative expenses,2025,8,33988.34
SGA,General and administrative expenses,2025,9,50532.92
SGA,General and administrative expenses,2025,10,40703.92
SGA,General and administrative expenses,2025,11,38182.49
SGA,General and administrative expenses,2025,12,35076.37
SGA,Income Taxes,2025,7,213290.52
SGA,Income Taxes,2025,8,213512.46999999997
SGA,Income Taxes,2025,9,70180.64
SGA,Income Taxes,2025,10,131670.22
SGA,Income Taxes,2025,11,322077.0
SGA,Income Taxes,2025,12,88475.19
SGA,Marketing and selling expenses,2025,7,4294.83
SGA,Marketing and selling expenses,2025,8,1345.0
SGA,Marketing and selling expenses,2025,9,11245.0
SGA,Marketing and selling expenses,2025,10,1345.0
SGA,Marketing and selling expenses,2025,11,1345.0
SGA,Marketing and selling expenses,2025,12,195.20999999999998
SGA,Net Revenue,2025,7,-1343988.8499999999
SGA,Net Revenue,2025,8,-987688.86
SGA,Net Revenue,2025,9,-1002772.7899999999
SGA,Net Revenue,2025,10,-1105387.84
SGA,Net Revenue,2025,11,-1682231.19
SGA,Net Revenue,2025,12,-1078695.51
SGA,NÃO CLASSIFICADO,2025,7,-14902.02999999998
SGA,NÃO CLASSIFICADO,2025,8,33230.1
SGA,NÃO CLASSIFICADO,2025,9,-34324.28
SGA,NÃO CLASSIFICADO,2025,10,-10694.889999999992
SGA,NÃO CLASSIFICADO,2025,11,8998.400000000005
SGA,NÃO CLASSIFICADO,2025,12,35303.61
SGA,Occupancy expenses,2025,7,10970.41
SGA,Occupancy expenses,2025,8,10547.73
SGA,Occupancy expenses,2025,9,10839.05
SGA,Occupancy expenses,2025,10,11913.789999999999
SGA,Occupancy expenses,2025,11,10925.34
SGA,Occupancy expenses,2025,12,21464.809999999998
SGA,Other operating income (expenses) net,2025,10,-15000.0
SGA,Other operating income (expenses) net,2025,12,18761.67
SGA,Payroll costs,2025,7,175302.94999999998
SGA,Payroll costs,2025,8,206842.24000000002
SGA,Payroll costs,2025,9,221745.82
SGA,Payroll costs,2025,10,289805.7
SGA,Payroll costs,2025,11,302364.24
SGA,Payroll costs,2025,12,308438.64
SGA,Payroll expenses,2025,7,146919.13999999998
SGA,Payroll expenses,2025,8,130003.87000000001
SGA,Payroll expenses,2025,9,139266.77
SGA,Payroll expenses,2025,10,67896.62
SGA,Payroll expenses,2025,11,59415.73
SGA,Payroll expenses,2025,12,42361.08
SGA,Related parties,2025,7,5520.6900000000005
SGA,Related parties,2025,8,3686.0
SGA,Related parties,2025,9,3686.0
SGA,Related parties,2025,10,3686.0
SGA,Related parties,2025,11,5090.71
SGA,Related parties,2025,12,5090.71
SGA,Tax expenses,2025,11,0.0
SGA,Third-party costs,2025,7,152883.18
SGA,Third-party costs,2025,8,137492.59
SGA,Third-party costs,2025,9,160962.74
SGA,Third-party costs,2025,10,135241.49
SGA,Third-party costs,2025,11,116808.2
SGA,Third-party costs,2025,12,132720.95
SGA,Third-party expenses,2025,7,166106.83
SGA,Third-party expenses,2025,8,155204.05
SGA,Third-party expenses,2025,9,170588.77
SGA,Third-party expenses,2025,10,162107.77
SGA,Third-party expenses,2025,11,186989.38
SGA,Third-party expenses,2025,12,152627.51
SGA,Travel expenses,2025,7,3600.8
SGA,Travel expenses,2025,8,6626.69
SGA,Travel expenses,2025,9,13936.55
SGA,Travel expenses,2025,10,12611.35
SGA,Travel expenses,2025,11,3214.84
SGA,Travel expenses,2025,12,53597.78
